버스정류장ARS번호,역명,승차총승객수,하차총승객수,총이용객수,위도,경도
00000,판교IC,121,30,151,,
01001,종로2가사거리,570,529,1099,37.5698055407,126.9877522923
01002,창경궁.서울대학교병원,3045,2568,5613,37.579432932,126.9965206101
01003,명륜3가.성대입구,3524,2988,6512,37.5825800121,126.9982508372
01004,종로2가.삼일교,861,957,1818,37.5685792736,126.9876130976
01005,혜화동로터리.여운형활동터,1771,2341,4112,37.586243,127.001744
01006,서대문역사거리,2115,1300,3415,37.566137,126.966893
01007,서울역사박물관.경희궁앞,4219,4327,8546,37.569135,126.97038
01008,서울역사박물관.경희궁앞,2926,2230,5156,37.5695119837,126.9707589959
01009,광화문역,4351,3988,8339,37.5701416811,126.9763534416
01010,광화문역,3885,3939,7824,37.5702396638,126.9778802991
01011,종로1가,4984,4670,9654,37.5701482455,126.9810660928
01012,종로1가,4523,4469,8992,37.5702710116,126.9816283242
01013,종로2가,4786,4144,8930,37.5701723774,126.9849902588
01014,종로2가,6085,5052,11137,37.5702378859,126.9865353674
01015,종로3가.탑골공원,4822,3034,7856,37.5702088889,126.9893256464
01016,종로3가.탑골공원,3469,4496,7965,37.5703605443,126.9899877751
01017,종로4가.종묘,1936,1852,3788,37.5705069968,126.9947218896
01018,종로4가.종묘,1430,2669,4099,37.570635002,126.995395739
01019,종로5가.광장시장,3967,4134,8101,37.5707860047,126.9990604685
01020,종로5가.광장시장,2410,2429,4839,37.570930167,126.9996038113
01021,종로6가.동대문종합시장,3406,1964,5370,37.5710111729,127.004462788
01022,종로6가.동대문종합시장,2430,3389,5819,37.5711272339,127.0057137364
01023,동대문역.흥인지문,6139,4893,11032,37.572447536,127.013815948
01037,동대문역.흥인지문,3557,4524,8081,37.5721053097,127.0124518417
01041,동묘앞.서울혜화경찰서,2232,1766,3998,37.5738321574,127.0186102731
01044,동묘앞.서울혜화경찰서,3334,3424,6758,37.5742464626,127.0195527812
01101,경기상고,500,153,653,37.5875502159,126.9693634554
01102,신교동,1470,413,1883,37.5832955233,126.9702626865
01103,경기상고,110,390,500,37.5871907861,126.9697701102
01104,경복고교,288,205,493,37.5851600316,126.9708802468
01105,청운중학교,41,68,109,37.587810579,126.9726741314
01106,자하문고개.윤동주문학관,391,73,464,37.5921866176,126.9671261805
01107,자하문고개.윤동주문학관,54,453,507,37.5923353152,126.9671906625
01108,청운중학교,21,148,169,37.5884219586,126.9722631304
01109,경복고교,173,310,483,37.5850633028,126.9714039185
01110,통인시장종로구보건소,1323,1183,2506,37.5803257033,126.9710500404
01111,통인시장종로구보건소,472,1299,1771,37.5805132118,126.9713851083
01112,효자동,293,1143,1436,37.583091043,126.9706209712
01113,사직단.어린이도서관,999,621,1620,37.5751355316,126.9679907155
01114,경복궁역1번출구,3090,1694,4784,37.5761614873,126.9714158133
01115,경복궁역2번출구,1428,3678,5106,37.577040144,126.9721994292
01116,경복궁역3번출구,3636,1463,5099,37.5776713863,126.9722828893
01117,경복궁,1159,1749,2908,37.5755767894,126.9787471496
01118,광화문역2번출구.KT광화문지사,5060,1881,6941,37.5723209262,126.9774162769
01119,영추문,112,132,244,37.5789303855,126.9739817664
01120,광화문역6번출구,1365,1084,2449,37.5700448348,126.97640724
01123,서울역사박물관.강북삼성병원,1183,1320,2503,37.570023,126.971248
01124,새문안교회,198,478,676,37.5703368912,126.9728386477
01125,광화문역7번출구,233,55,288,37.570365,126.975837
01126,세종문화회관,2150,3230,5380,37.5736489318,126.9769975778
01127,서울경찰청.경복궁역,1524,2653,4177,37.5757446636,126.9714842989
01128,사직단,645,1876,2521,37.5748553458,126.968188961
01129,광화문역6번출구.광화문빌딩,279,379,658,37.5695035518,126.9768637419
01130,덕성여중고,1318,1206,2524,37.5757693863,126.981972246
01131,안국역.서울공예박물관,922,917,1839,37.5760695565,126.9839957858
01132,국민은행세검정지점,389,293,682,37.6046629766,126.9608880061
01133,세검정초등학교,1200,550,1750,37.6025022799,126.9612198463
01134,세검정.상명대,246,122,368,37.6004770909,126.9582921267
01135,상명대입구.석파랑,159,108,267,37.5994133537,126.958570225
01136,하림각,719,350,1069,37.5981330665,126.9617068235
01137,자하문터널입구.석파정,614,259,873,37.5955935123,126.9636434993
01138,부암동주민센터.무계원,384,231,615,37.5927670827,126.9642221989
01139,부암동주민센터.무계원,217,465,682,37.5927861733,126.9651419211
01140,자하문터널입구.석파정,283,622,905,37.5955575712,126.9639775924
01141,하림각,383,571,954,37.5981476478,126.962215308
01142,상명대입구.세검정교회,124,312,436,37.5996163318,126.9592405649
01143,세검정.상명대,205,340,545,37.6006470965,126.959155798
01144,세검정초등학교,959,1196,2155,37.6022680671,126.9614328894
01146,국민은행세검정지점,312,552,864,37.6048461618,126.9611926889
01148,승가사입구,48,7,55,37.6115844138,126.9563059978
01149,구기동현대빌라,170,27,197,37.6100355035,126.9564575503
01150,구기터널.삼성출판박물관,394,142,536,37.6086098941,126.9562103294
01151,구기터널.삼성출판박물관,185,265,450,37.6083054034,126.9564166508
01152,구기동,1020,349,1369,37.6069644475,126.9585297928
01153,구기동,412,650,1062,37.6070088003,126.9591017479
01154,승가사입구,25,108,133,37.61148,126.956482
01155,갑을씨티텔앞,317,234,551,37.6043709709,126.9635350292
01156,평창파출소,1280,315,1595,37.6053223656,126.9660432906
01157,평창동주민센터,1095,419,1514,37.6066073749,126.9695663093
01158,일성아파트,473,211,684,37.6088723554,126.9729237379
01159,롯데아파트,801,329,1130,37.6103897208,126.9763156152
01160,롯데아파트,234,585,819,37.610248,126.976652
01161,벽산평창힐스아파트,137,426,563,37.60819,126.972797
01162,예능교회,335,519,854,37.606517,126.97
01163,서울예술고등학교.평창동주민센터,293,1018,1311,37.6057787606,126.9676276108
01164,화정박물관,230,909,1139,37.6045038178,126.9648102665
01165,강북삼성병원.경교장,87,190,277,37.568145927,126.9686004828
01167,독립문역.서대문형무소역사관,491,517,1008,37.573395,126.959322
01168,금화초등학교.서울시교육청,844,671,1515,37.5682538056,126.9645273358
01169,서대문역사거리.적십자병원,1930,1097,3027,37.5671081521,126.9675878497
01171,독립문,418,190,608,37.5713430165,126.9614303112
01172,창덕궁.우리소리박물관,1678,2579,4257,37.5775405746,126.9885394479
01173,서린동.SK서린빌딩,335,286,621,37.5692639006,126.9800947893
01174,청계1가.광교,62,69,131,37.568684389,126.9849267193
01175,청계2가.수표교,64,80,144,37.5684453156,126.9908172161
01176,청계4가.세운교,27,46,73,37.5689254028,126.9965617399
01177,청계5가.광장시장,108,120,228,37.5694512793,126.9997973605
01198,원남동,2465,2154,4619,37.5745325055,126.9973383362
01199,창덕궁.우리소리박물관,2073,1476,3549,37.5772726542,126.9889538872
01200,안국역6번출구.인사동문화의거리,3319,2053,5372,37.575798979,126.9841344381
01201,조계사.종로경찰서,1775,1316,3091,37.5725223095,126.9831555803
01202,조계사.종로경찰서,1527,1852,3379,37.5724858087,126.9828258888
01203,안국동사거리,454,683,1137,37.5746105669,126.9827201116
01204,효제동.김상옥의거터,542,950,1492,37.5745,127.00223
01205,종로5가.효제초등학교,1596,1033,2629,37.5728790133,127.0021442279
01209,창덕궁.서울돈화문국악당,140,165,305,37.5774327721,126.991234977
01212,종로5가역6번출구,727,675,1402,37.5705596025,127.0021826522
01213,청계5가.마전교,46,97,143,37.5698351103,127.0028494203
01214,동대문,560,601,1161,37.5717262368,127.0084126252
01215,충신동,541,500,1041,37.5740223509,127.006278812
01217,충신동,210,536,746,37.5744602778,127.0063433807
01218,현대그룹빌딩,812,1047,1859,37.5759104142,127.0008065808
01219,방송통신대.이화장,2099,2880,4979,37.578043,127.002437
01220,혜화역2번출구.마로니에공원,3132,3912,7044,37.5811194873,127.0022769364
01221,혜화역3번출구.서울대병원입구,3769,1216,4985,37.5809559696,127.0018481852
01222,방송통신대.이화장,655,536,1191,37.5777889737,127.0019782952
01223,현대그룹빌딩,1282,687,1969,37.576119355,127.0006951494
01224,창경궁.서울대학교병원,1108,1711,2819,37.5788279947,126.9968717143
01225,이화동,462,389,851,37.5759372914,127.0032708172
01226,혜화동로터리,393,380,773,37.5855803307,127.0006878052
01227,명륜동2가.성균관대입구,1510,1756,3266,37.5834170764,126.9993412723
01228,혜화역.서울연극센터,965,1341,2306,37.5840306853,127.0014608831
01229,혜화역.동성중고,3194,1729,4923,37.5845329425,127.0015561579
01231,종로구민회관.창신동두산아파트,449,648,1097,37.5740926792,127.0155555279
01235,동묘앞역6번출구,222,270,492,37.5716849566,127.0156014431
01236,동묘앞역5번출구,180,233,413,37.5719221488,127.0159450485
01238,창신3동주민센터,318,364,682,37.578413,127.015178
01239,숭인1동주민센터.창신역4번출구,1083,518,1601,37.5786281555,127.0154557816
01240,동묘앞역.롯데캐슬천지인,2234,617,2851,37.5741800523,127.0158023517
01243,신설동역오거리,1037,2108,3145,37.5756947252,127.0228414296
01245,동묘앞역2번출구,172,171,343,37.5736431148,127.0175234975
01246,구기동현대빌라,61,277,338,37.609682,126.956622
01247,광장시장,639,837,1476,37.5694963125,126.9977437946
01249,서울특별시재향군인회관,276,339,615,37.5725807445,126.9974787875
01250,서울역사박물관,236,500,736,37.5699003386,126.9721318077
01251,청계3가.관수교,43,50,93,37.5686887917,126.9937793705
01252,청계6가.버들다리,198,204,402,37.5699303868,127.0080377075
