버스정류장ARS번호,역명,승차총승객수,하차총승객수,총이용객수,위도,경도
00000,판교IC,94,35,129,,
01001,종로2가사거리,706,565,1271,37.5698055407,126.9877522923
01002,창경궁.서울대학교병원,2925,2584,5509,37.579432932,126.9965206101
01003,명륜3가.성대입구,3766,3064,6830,37.5825800121,126.9982508372
01004,종로2가.삼일교,908,1067,1975,37.5685792736,126.9876130976
01005,혜화동로터리.여운형활동터,1803,2504,4307,37.586243,127.001744
01006,서대문역사거리,2294,1267,3561,37.566137,126.966893
01007,서울역사박물관.경희궁앞,4405,4545,8950,37.569135,126.97038
01008,서울역사박물관.경희궁앞,2950,2264,5214,37.5695119837,126.9707589959
01009,광화문역,4162,3990,8152,37.5701416811,126.9763534416
01010,광화문역,3665,3916,7581,37.5702396638,126.9778802991
01011,종로1가,4939,4891,9830,37.5701482455,126.9810660928
01012,종로1가,4717,4446,9163,37.5702710116,126.9816283242
01013,종로2가,4820,4194,9014,37.5701723774,126.9849902588
01014,종로2가,6112,4967,11079,37.5702378859,126.9865353674
01015,종로3가.탑골공원,4978,3190,8168,37.5702088889,126.9893256464
01016,종로3가.탑골공원,3531,4649,8180,37.5703605443,126.9899877751
01017,종로4가.종묘,1968,1822,3790,37.5705069968,126.9947218896
01018,종로4가.종묘,1444,2883,4327,37.570635002,126.995395739
01019,종로5가.광장시장,3926,3922,7848,37.5707860047,126.9990604685
01020,종로5가.광장시장,2369,2338,4707,37.570930167,126.9996038113
01021,종로6가.동대문종합시장,3269,1934,5203,37.5710111729,127.004462788
01022,종로6가.동대문종합시장,2405,3289,5694,37.5711272339,127.0057137364
01023,동대문역.흥인지문,5994,4955,10949,37.572447536,127.013815948
01037,동대문역.흥인지문,3478,4496,7974,37.5721053097,127.0124518417
01041,동묘앞.서울혜화경찰서,2209,1755,3964,37.5738321574,127.0186102731
01044,동묘앞.서울혜화경찰서,3410,3353,6763,37.5742464626,127.0195527812
01101,경기상고,680,306,986,37.5875502159,126.9693634554
01102,신교동,1683,470,2153,37.5832955233,126.9702626865
01103,경기상고,287,601,888,37.5871907861,126.9697701102
01104,경복고교,492,257,749,37.5851600316,126.9708802468
01105,청운중학교,83,262,345,37.587810579,126.9726741314
01106,자하문고개.윤동주문학관,342,99,441,37.5921866176,126.9671261805
01107,자하문고개.윤동주문학관,69,369,438,37.5923353152,126.9671906625
01108,청운중학교,217,163,380,37.5884219586,126.9722631304
01109,경복고교,306,414,720,37.5850633028,126.9714039185
01110,통인시장종로구보건소,1256,1262,2518,37.5803257033,126.9710500404
01111,통인시장종로구보건소,479,1262,1741,37.5805132118,126.9713851083
01112,효자동,402,1279,1681,37.583091043,126.9706209712
01113,사직단.어린이도서관,1166,629,1795,37.5751355316,126.9679907155
01114,경복궁역1번출구,3315,1735,5050,37.5761614873,126.9714158133
01115,경복궁역2번출구,1392,4179,5571,37.577040144,126.9721994292
01116,경복궁역3번출구,3847,1573,5420,37.5776713863,126.9722828893
01117,경복궁,1237,1814,3051,37.5755767894,126.9787471496
01118,광화문역2번출구.KT광화문지사,5443,1728,7171,37.5723209262,126.9774162769
01119,영추문,159,184,343,37.5789303855,126.9739817664
01120,광화문역6번출구,1341,1011,2352,37.5700448348,126.97640724
01123,서울역사박물관.강북삼성병원,1137,1331,2468,37.570023,126.971248
01124,새문안교회,204,470,674,37.5703368912,126.9728386477
01125,광화문역7번출구,226,60,286,37.570365,126.975837
01126,세종문화회관,2068,3365,5433,37.5736489318,126.9769975778
01127,서울경찰청.경복궁역,1504,2876,4380,37.5757446636,126.9714842989
01128,사직단,717,2029,2746,37.5748553458,126.968188961
01129,광화문역6번출구.광화문빌딩,262,367,629,37.5695035518,126.9768637419
01130,덕성여중고,1506,1301,2807,37.5757693863,126.981972246
01131,안국역.서울공예박물관,988,1068,2056,37.5760695565,126.9839957858
01132,국민은행세검정지점,391,290,681,37.6046629766,126.9608880061
01133,세검정초등학교,1399,649,2048,37.6025022799,126.9612198463
01134,세검정.상명대,387,154,541,37.6004770909,126.9582921267
01135,상명대입구.석파랑,169,109,278,37.5994133537,126.958570225
01136,하림각,730,369,1099,37.5981330665,126.9617068235
01137,자하문터널입구.석파정,646,272,918,37.5955935123,126.9636434993
01138,부암동주민센터.무계원,350,203,553,37.5927670827,126.9642221989
01139,부암동주민센터.무계원,177,424,601,37.5927861733,126.9651419211
01140,자하문터널입구.석파정,316,658,974,37.5955575712,126.9639775924
01141,하림각,417,624,1041,37.5981476478,126.962215308
01142,상명대입구.세검정교회,176,372,548,37.5996163318,126.9592405649
01143,세검정.상명대,310,376,686,37.6006470965,126.959155798
01144,세검정초등학교,1090,1367,2457,37.6022680671,126.9614328894
01146,국민은행세검정지점,341,614,955,37.6048461618,126.9611926889
01148,승가사입구,33,9,42,37.6115844138,126.9563059978
01149,구기동현대빌라,206,24,230,37.6100355035,126.9564575503
01150,구기터널.삼성출판박물관,386,155,541,37.6086098941,126.9562103294
01151,구기터널.삼성출판박물관,227,304,531,37.6083054034,126.9564166508
01152,구기동,1080,370,1450,37.6069644475,126.9585297928
01153,구기동,478,709,1187,37.6070088003,126.9591017479
01154,승가사입구,20,128,148,37.61148,126.956482
01155,갑을씨티텔앞,306,269,575,37.6043709709,126.9635350292
01156,평창파출소,1359,340,1699,37.6053223656,126.9660432906
01157,평창동주민센터,1378,430,1808,37.6066073749,126.9695663093
01158,일성아파트,519,214,733,37.6088723554,126.9729237379
01159,롯데아파트,728,338,1066,37.6103897208,126.9763156152
01160,롯데아파트,254,541,795,37.610248,126.976652
01161,벽산평창힐스아파트,125,452,577,37.60819,126.972797
01162,예능교회,345,514,859,37.606517,126.97
01163,서울예술고등학교.평창동주민센터,278,1068,1346,37.6057787606,126.9676276108
01164,화정박물관,205,944,1149,37.6045038178,126.9648102665
01165,강북삼성병원.경교장,98,172,270,37.568145927,126.9686004828
01167,독립문역.서대문형무소역사관,540,624,1164,37.573395,126.959322
01168,금화초등학교.서울시교육청,846,777,1623,37.5682538056,126.9645273358
01169,서대문역사거리.적십자병원,2053,1107,3160,37.5671081521,126.9675878497
01171,독립문,421,218,639,37.5713430165,126.9614303112
01172,창덕궁.우리소리박물관,1758,2720,4478,37.5775405746,126.9885394479
01173,서린동.SK서린빌딩,346,272,618,37.5692639006,126.9800947893
01174,청계1가.광교,68,81,149,37.568684389,126.9849267193
01175,청계2가.수표교,67,75,142,37.5684453156,126.9908172161
01176,청계4가.세운교,25,25,50,37.5689254028,126.9965617399
01177,청계5가.광장시장,72,118,190,37.5694512793,126.9997973605
01198,원남동,2530,2201,4731,37.5745325055,126.9973383362
01199,창덕궁.우리소리박물관,2268,1441,3709,37.5772726542,126.9889538872
01200,안국역6번출구.인사동문화의거리,3730,2065,5795,37.575798979,126.9841344381
01201,조계사.종로경찰서,1820,1357,3177,37.5725223095,126.9831555803
01202,조계사.종로경찰서,1549,1907,3456,37.5724858087,126.9828258888
01203,안국동사거리,433,681,1114,37.5746105669,126.9827201116
01204,효제동.김상옥의거터,561,941,1502,37.5745,127.00223
01205,종로5가.효제초등학교,1579,1094,2673,37.5728790133,127.0021442279
01209,창덕궁.서울돈화문국악당,105,141,246,37.5774327721,126.991234977
01212,종로5가역6번출구,729,700,1429,37.5705596025,127.0021826522
01213,청계5가.마전교,79,75,154,37.5698351103,127.0028494203
01214,동대문,586,646,1232,37.5717262368,127.0084126252
01215,충신동,538,512,1050,37.5740223509,127.006278812
01217,충신동,220,572,792,37.5744602778,127.0063433807
01218,현대그룹빌딩,942,1166,2108,37.5759104142,127.0008065808
01219,방송통신대.이화장,2502,2958,5460,37.578043,127.002437
01220,혜화역2번출구.마로니에공원,3146,3634,6780,37.5811194873,127.0022769364
01221,혜화역3번출구.서울대병원입구,3864,1319,5183,37.5809559696,127.0018481852
01222,방송통신대.이화장,709,590,1299,37.5777889737,127.0019782952
01223,현대그룹빌딩,1340,698,2038,37.576119355,127.0006951494
01224,창경궁.서울대학교병원,1152,1739,2891,37.5788279947,126.9968717143
01225,이화동,454,394,848,37.5759372914,127.0032708172
01226,혜화동로터리,469,426,895,37.5855803307,127.0006878052
01227,명륜동2가.성균관대입구,1473,1817,3290,37.5834170764,126.9993412723
01228,혜화역.서울연극센터,1049,1250,2299,37.5840306853,127.0014608831
01229,혜화역.동성중고,3238,1862,5100,37.5845329425,127.0015561579
01231,종로구민회관.창신동두산아파트,442,657,1099,37.5740926792,127.0155555279
01235,동묘앞역6번출구,235,286,521,37.5716849566,127.0156014431
01236,동묘앞역5번출구,167,201,368,37.5719221488,127.0159450485
01238,창신3동주민센터,340,413,753,37.578413,127.015178
01239,숭인1동주민센터.창신역4번출구,1220,538,1758,37.5786281555,127.0154557816
01240,동묘앞역.롯데캐슬천지인,2161,626,2787,37.5741800523,127.0158023517
01243,신설동역오거리,1042,2187,3229,37.5756947252,127.0228414296
01245,동묘앞역2번출구,160,187,347,37.5736431148,127.0175234975
01246,구기동현대빌라,57,315,372,37.609682,126.956622
01247,광장시장,640,922,1562,37.5694963125,126.9977437946
01249,서울특별시재향군인회관,253,300,553,37.5725807445,126.9974787875
01250,서울역사박물관,211,415,626,37.5699003386,126.9721318077
01251,청계3가.관수교,22,54,76,37.5686887917,126.9937793705
01252,청계6가.버들다리,203,195,398,37.5699303868,127.0080377075
01253,청계7가.맑은내다리,176,146,322,37.5700419608,127.0130967122
01254,청계8가.영도교,132,107,239,37.5708949889,127.0181256262
01256,원남동사거리,310,710,1020,37.5757617378,126.9981123217
01262,숭인2동주민센터,608,570,1178,37.5742721533,127.0204373408
01267,조계사,124,607,731,37.572800338,126.9831609226
01272,세종문화회관,554,396,950,37.5733655664,126.9770167126
01277,이화동,118,659,777,37.576257,127.002955
01278,상명대정문,887,1161,2048,37.601417,126.955143
01279,이북오도청,215,226,441,37.6127234824,126.9559729686
01280,효자로입구,4,0,4,37.576709505,126.9743023448
01286,상명대입구.세검정교회,93,223,316,37.5994435122,126.9597921957
01287,상명대입구.석파랑,447,238,685,37.5995718125,126.9581941404
01288,종로중부새마을금고,626,727,1353,37.5724174899,127.0065911394
01289,신설동역오거리.서울풍물시장,612,364,976,37.5742548131,127.0231950517
01291,청계2가.삼일교,70,150,220,37.5683454305,126.9869890809
01292,청계8가.황학교,213,120,333,37.5721307298,127.0227870051
01293,평창동삼성아파트,144,353,497,37.6111800895,126.9787981475
01294,안국역5번출구,229,459,688,37.5763329308,126.9855365486
01295,안국역.서울공예박물관,846,1258,2104,37.5764140065,126.9848871214
01297,남인사마당,182,154,336,37.5713191723,126.9874286375
01500,평창파출소,348,58,406,37.605681218,126.9668167021
01501,삼청공원,244,119,363,37.5882276807,126.9816468946
01502,수성동계곡,403,423,826,37.5820813834,126.9644678921
01503,명륜3가종점,259,360,619,37.5909483783,126.9928636796
01504,명륜새마을금고,61,5,66,37.5877854691,126.9967901477
01505,서대문역3번출구,1460,442,1902,37.5663370645,126.9663939394
01506,낙산공원,139,272,411,37.5804037213,127.0087215681
01507,세탁소,79,136,215,37.5814109836,126.9893670844
01508,화정박물관,13,1,14,37.6048011982,126.9648837454
01509,금융연수원,305,0,305,37.5866398268,126.9816582681
01510,박노수미술관,547,1,548,37.5809967425,126.966603478
01511,샘미용실.종로구청소년상담복지센터,176,0,176,37.5903095275,126.9932227051
01512,서울국제고등학교,400,29,429,37.5890715947,126.9972902593
01513,화정박물관,52,6,58,37.6049806084,126.9652007897
01514,적십자병원후문앞,23,6,29,37.5675295356,126.9652272769
01515,서울성곽.성대후문,21,0,21,37.5893663808,126.989569366
01516,빨래터,69,88,157,37.582987218,126.9890634276
01517,세검초등학교,8,4,12,37.6042522792,126.9614907597
01518,삼청동주민센터,332,6,338,37.5842638281,126.9819071619
01519,통인시장앞,248,10,258,37.5804417494,126.9684956941
01520,양현관,223,1,224,37.5897914226,126.9936043615
01521,국민생활관,869,73,942,37.5897456349,126.9988619666
01522,오거리,1,30,31,37.6070621164,126.9622629001
01523,경희궁자이2.3단지,66,49,115,37.5687871134,126.9640686009
01524,창신쌍용2단지.한성대후문,518,6,524,37.5812647965,127.0127581151
01525,통일부,43,2,45,37.5875948053,126.9859476734
01526,원서고개,102,169,271,37.583080553,126.9878088426
01528,종로5가입구,83,74,157,37.5717928476,126.9976709493
01529,삼청파출소,228,15,243,37.581813662,126.9812510491
01530,오거리.한옥마을입구,79,9,88,37.579404615,126.9696088803
01531,명륜시장.성대후문,684,14,698,37.5885110529,126.9952543092
01532,혜화초등학교,336,179,515,37.5872532276,126.9998516643
01533,청련사입구,2,45,47,37.6079803769,126.9624312007
01534,영천시장,314,180,494,37.5700818569,126.9627388724
01535,명신초.삼선푸르지오.힐스테이트,275,3,278,37.5821062067,127.014556281
01536,감사원,415,11,426,37.5862106518,126.9852900569
01537,중앙중고,128,124,252,37.583092177,126.986965299
01538,인왕빌딩,8,1,9,37.6079283311,126.9577443332
01539,종로4가.종묘공원,199,109,308,37.5706890289,126.9946203403
01540,국립민속박물관,274,45,319,37.5792551846,126.9795533717
01541,광화문새마을금고,38,90,128,37.5793687689,126.9711466491
01542,새마을금고,402,18,420,37.5877370613,126.996518051
01543,혜화우체국,207,528,735,37.5860376565,127.0006137149
01544,언덕앞,4,31,35,37.6089539753,126.9637921715
01545,경희궁자이4단지,169,183,352,37.5707022242,126.9621148375
01546,종로센트레빌후문.e편한세상보문아파트,104,8,112,37.5817743934,127.0161855253
01547,사우디대사관앞.경남빌라,100,2,102,37.5841056738,126.9850311776
01548,안국선원.삼거리,177,38,215,37.5827909789,126.984994076
01549,구기터널입구,33,10,43,37.6082046142,126.9567768927
01550,종로3가역9번출구,1039,603,1642,37.5710875771,126.9920931881
01551,경복궁,119,107,226,37.576950157,126.9793377561
01553,소나무집,6,52,58,37.6112770717,126.964110466
01554,독립문역3번출구,490,257,747,37.5728784775,126.9597453483
01555,청룡사.보문파크뷰자이아파트,226,20,246,37.5800189539,127.01700714
01556,북촌한옥마을입구.정세권활동터,381,34,415,37.5815997311,126.9849422317
01557,종로1.2.3.4가동주민센터,156,119,275,37.5743837122,126.9911314256
01558,창덕궁,23,100,123,37.5760892484,126.9906200153
01561,아름다운실버,0,10,10,37.6120100581,126.965463701
01562,독립문초등학교,51,109,160,37.5738699714,126.9606775165
01563,종로센트레빌아파트,121,85,206,37.5803534405,127.0156926979
01564,가회동주민센터,111,45,156,37.579972942,126.9849543284
01565,문방구,2,1,3,37.6062686142,126.9579797248
01566,원남로터리,52,118,170,37.5762373738,126.997511497
01567,보현산신각,3,20,23,37.6134825236,126.9657790521
01568,린덴바움숲유치원,97,302,399,37.5746692802,126.9618040443
01569,쌍용아파트입구.창신역,142,191,333,37.580511226,127.0149635738
01570,아름다운가게.정독도서관,181,158,339,37.5789480833,126.9851271782
01571,산정빌라,3,11,14,37.6051519935,126.9574922002
01572,이화사거리,98,469,567,37.5765095598,127.0020914666
01573,박종화고택입구,2,16,18,37.6143102577,126.9676873462
01574,무악현대아파트후문,112,318,430,37.5763372261,126.9619411637
01576,헌법재판소.안국역,125,503,628,37.5773871956,126.9858152185
01577,청구빌라,9,87,96,37.6046102563,126.9569839726
01578,서울대어린이병원응급실.갑상선센터,11,427,438,37.5781188768,126.9995029662
01580,화인빌라,11,28,39,37.6129345305,126.9685386165
01581,행촌주차장,88,286,374,37.5752728058,126.9628880463
01582,창신초등학교,211,100,311,37.5769032044,127.0153885503
01583,수운회관,46,99,145,37.5752189424,126.986669266
01584,상명대후문,54,102,156,37.6040255786,126.9573354115
01586,힐탑,4,22,26,37.6116055569,126.9690205751
01587,성결교신대원총회본부,7,77,84,37.5739763092,126.9634445669
01589,낙원상가,87,285,372,37.5737563689,126.9874148722
01590,완성빌라,20,48,68,37.6034020863,126.9575011241
01591,서울대병원장례식장,30,52,82,37.5805553988,126.9974309648
01592,혜화역1번출구,1539,194,1733,37.5834729904,127.0017632862
01593,감나무골공원,0,6,6,37.6124059606,126.9699479367
01594,한국사회과학도서관.이회영기념관,71,281,352,37.5736670147,126.9641239308
01595,동묘앞역8번출구,134,285,419,37.5726943506,127.0142453819
01596,종로2가.탑골공원,278,461,739,37.5705713654,126.9875484137
01597,경진빌라,3,6,9,37.6020037175,126.9578303612
01598,성대입구,17,142,159,37.5833533096,126.9992849459
01601,청와대,162,144,306,37.5829712951,126.973768082
01602,춘추문,136,220,356,37.5831276121,126.9796554436
01603,경복궁.국립민속박물관,458,188,646,37.5794135204,126.9795911351
01607,EN갤러리,2,13,15,37.6134217965,126.9706087294
01612,유림회관앞,4,5,9,37.5858955968,126.9969805237
01615,성균관대정문,37,127,164,37.5849563466,126.9966204422
01616,600주년기념관,6,425,431,37.5873281035,126.9939426439
01617,성균관대운동장,286,478,764,37.587863,126.99237
01618,학생회관,227,6,233,37.5874203934,126.9936746328
01667,종로문화체육센터,131,119,250,37.5746935562,126.9645321424
01682,동대문역.2번출구,162,409,571,37.5720494465,127.0117218002
01683,종각역YMCA,555,406,961,37.5703976388,126.98508926
01684,서교빌라,6,21,27,37.601989057,126.9571553655
01685,경복궁역,527,194,721,37.5770722054,126.9724733176
01697,성대입구,188,43,231,37.5832668015,126.998853007
01698,무애사,4,5,9,37.6139004282,126.9718458037
01699,단군성전앞,8,17,25,37.5755600915,126.9653175119
01702,동대문종합시장,174,233,407,37.5712161296,127.004958038
01714,상명초등학교,5,16,21,37.6009238115,126.956715418
01720,법련사,169,386,555,37.5765879752,126.9796650539
01721,광화문새마을금고,39,126,165,37.5794930902,126.9710277184
01722,성균관대정문,53,17,70,37.584886,126.996646
01723,참샘골공원,7,23,30,37.6146097003,126.9742524976
01724,황학정앞,17,43,60,37.5768126115,126.9653293849
01725,종로5가역.중부교육지원청,1207,433,1640,37.5714192458,127.0020898456
01727,인사동들머리.3.1독립선언터,27,8,35,37.5719470235,126.983296967
01728,정독도서관,18,571,589,37.5802605382,126.980080541
01729,오거리.한옥마을입구,9,129,138,37.5794684375,126.9697392663
01732,평창공원지킴터입구,2,8,10,37.6163963984,126.9757438761
01763,종로1가,1060,550,1610,37.57037,126.980129
01776,종로도서관,93,78,171,37.5764842271,126.9671251598
01790,종로사우나,264,42,306,37.5738011149,126.9877503526
01791,홍지파크,1,1,2,37.6012424257,126.9557163281
01792,삼청파출소,16,222,238,37.58164517,126.9813258198
01793,통인시장.종로구보건소,39,415,454,37.5803350289,126.9687504797
01794,종로5가역.광장시장,610,565,1175,37.5707724724,127.000038992
01795,평창동산림제3초소,8,11,19,37.6173560499,126.9771030504
01796,배화여중고.매동초교,97,234,331,37.5767787564,126.9676986337
01797,대학로입구.이화사거리,571,375,946,37.5759841652,127.0025801998
01798,운현궁,12,0,12,37.5752716136,126.9869813803
01799,상명대입구,2,10,12,37.6000210109,126.9569583018
01800,삼청동주민센터,9,301,310,37.5846846831,126.9822105151
01801,박노수미술관,4,395,399,37.5810265604,126.9668944502
01802,김창열.윤명로화실,8,9,17,37.616304998,126.9783685436
01803,사직공원.경복궁역입구,260,258,518,37.5762206893,126.9689039095
01804,충신시장,305,188,493,37.5749766498,127.005404874
01805,안국역2번출구앞,1143,174,1317,37.5771728174,126.9861183272
01807,금융연수원,2,270,272,37.5858776706,126.981847891
01809,감람산기도원,8,3,11,37.6159439291,126.9798729651
01810,카센터.사직터널앞,33,27,60,37.57409862,126.9658895166
01812,재동초등학교,50,219,269,37.578791085,126.9853617134
01814,삼청공원삼거리.옥호정터,1,137,138,37.5874185176,126.9817444742
01815,이화사거리,97,179,276,37.5753200672,127.0022812884
01816,연화정사,0,3,3,37.6146490046,126.9794938432
01817,대신중고,181,211,392,37.5726178078,126.9616893251
01819,현대사거리,14,46,60,37.5792417814,126.9866353642
01820,교남동주민센터,7,25,32,37.5721819807,126.9613278115
01821,부암동주민센터.무계원,20,29,49,37.5929353403,126.9637682263
01823,형제봉입구,2,3,5,37.6128643152,126.9816861503
01824,교남동새마을금고,90,118,208,37.5714943551,126.962337459
01825,창신초교,50,103,153,37.5760372123,127.0157200961
01826,가회동주민센터,21,157,178,37.5799426497,126.9851293823
01827,볼링장,19,56,75,37.5792554401,126.9879589184
01829,석파정.서울미술관,31,9,40,37.5947643228,126.9637824182
01830,지구촌교회,18,26,44,37.6131060324,126.9792421489
01831,월암공원,47,44,91,37.5712260916,126.9646918774
01832,숭인1동주민센터,114,117,231,37.5774150014,127.0155607478
01833,북촌한옥마을입구.정세권활동터,12,422,434,37.5812807738,126.9851687446
01835,하림각,28,1,29,37.5976847268,126.9629663842
01836,보현빌라,12,4,16,37.6153822583,126.9784205906
01837,스위스대사관,0,20,20,37.5701413179,126.9656960774
01839,안국선원.삼거리,3,235,238,37.5827432497,126.9852205387
01840,세검정교회,13,1,14,37.5993880238,126.9600291533
01841,혜화동로터리,459,272,731,37.5859196111,127.0010032298
01842,김종영미술관,12,9,21,37.6132637884,126.9781122953
01843,서울시교육청,73,90,163,37.569381682,126.9666998924
01844,창신쌍용1단지.종로센트레빌아파트,56,291,347,37.5803228198,127.0155692785
01845,사우디대사관.북촌힐스,4,171,175,37.583863308,126.9852486243
01846,상명대입구,74,1,75,37.5998544708,126.9574023475
01847,혜화초등학교,99,456,555,37.5873892922,126.9999909413
01849,강북삼성병원,13,200,213,37.5685315243,126.9683376852
01850,청룡사.보문파크뷰자이아파트,50,444,494,37.5797846496,127.0171508787
01851,감사원,11,534,545,37.5862656518,126.9855618026
01852,국민생활관,67,635,702,37.5896275957,126.9993137839
01855,종로센트레빌후문.e편한세상보문아파트,5,263,268,37.5818978359,127.0162353711
01856,통일부,0,29,29,37.5875308468,126.9861073451
01858,서울국제고등학교,8,399,407,37.5890742944,126.9971407875
01860,성대후문.와룡공원,0,47,47,37.5891522774,126.989734001
01861,상명초등학교,17,14,31,37.600904926,126.9568173576
01862,새마을금고,74,626,700,37.5878406881,126.9965690016
01863,경진빌라,5,19,24,37.6018640911,126.9579482257
01864,명륜시장.성대후문,19,604,623,37.5887246101,126.9952305162
01865,완성빌라,20,58,78,37.6033399708,126.9576665157
01866,양현관,2,218,220,37.5897680031,126.9937685575
01868,상명대후문,37,50,87,37.6040715802,126.9574633677
01869,샘미용실.종로구청소년상담복지센터,1,132,133,37.5902545716,126.9934084203
01870,산정빌라,3,3,6,37.6052835831,126.9575782035
01872,문방구,0,17,17,37.6061334517,126.9579809335
01873,마트앞,9,46,55,37.6066987064,126.958756466
01874,국민은행.세검정지점,4,7,11,37.6049541749,126.9608727063
01876,혜화역4번출구,369,2063,2432,37.5835080381,127.0015538872
01877,방송통신대앞,131,257,388,37.5786973612,127.0019926794
01878,서울대치과대학,3,107,110,37.5774082997,126.997800962
01879,효제초교.연동교회.김마리아활동터,187,206,393,37.5736413355,127.0022087811
01881,성균관대학교,109,216,325,37.5884638684,126.9900035953
01883,서울대치과대학,56,43,99,37.5775727323,126.9978632209
01886,이화사거리,88,129,217,37.5769483437,127.0020084833
01887,서울대학교병원현관.암병원현관,753,1661,2414,37.5790872846,126.9981631637
01888,공평.종각,373,105,478,37.5715937879,126.9832427053
01889,조계사,106,43,149,37.5736021088,126.9831364101
02001,남대문세무서,2589,2407,4996,37.5649848069,126.9875299251
02002,국가인권위.안중근활동터,4062,3094,7156,37.5643504711,126.9878515151
02003,서울역버스환승센터,429,1226,1655,37.5551460158,126.9722570849
02004,서울역버스환승센터,5085,5231,10316,37.5554029828,126.9725924801
02005,서울역버스환승센터,2786,3449,6235,37.555388989,126.9727238221
02006,서울역버스환승센터,4898,5817,10715,37.5554794133,126.9728547738
02007,서울역버스환승센터.강우규의거터,1866,2705,4571,37.5554141603,126.9729402621
02008,숭례문,2261,1891,4152,37.5586388574,126.9737783904
02099,숭례문,2,555,557,37.5597967723,126.9743556496
02101,만리동고개,1317,1063,2380,37.551787064,126.9626582054
02102,손기정체육공원입구,707,952,1659,37.5544459527,126.9662339013
02103,서울의료보건고등학교.서울역서부,1407,473,1880,37.5558478973,126.9689026242
02104,서울역서부,932,513,1445,37.556237644,126.9691514463
02105,서울역서부,912,1298,2210,37.555855,126.969293
02106,중림동교차로,444,551,995,37.5583836266,126.9691354395
02107,종근당.충정로역,946,729,1675,37.5596488763,126.9645407963
02108,한국경제신문사.서소문역사공원,468,546,1014,37.5602111497,126.9678680149
02109,한국경제신문사.서소문역사공원,551,518,1069,37.5606234736,126.9681135141
02110,경찰청.동북아역사재단,1220,1463,2683,37.5630494858,126.9691267228
02113,농협은행.유관순활동터,1260,302,1562,37.5649062803,126.9677868059
02116,염천교,940,516,1456,37.5598696316,126.97311408
02117,숭례문,148,56,204,37.5584010617,126.97335794
02118,숭례문.한국일보,905,462,1367,37.5587713091,126.9737375955
02120,후암삼거리,231,329,560,37.5534055956,126.9759937564
02121,숭례문,210,19,229,37.5587633765,126.974362745
02122,숭례문,1903,2106,4009,37.5584195299,126.9740436876
02123,숭례문,1471,383,1854,37.5580006528,126.9736279452
02124,남대문시장악세사리전문상가,155,1004,1159,37.5588723988,126.9759976615
02125,숭례문남산방향,813,93,906,37.5585581643,126.9756720863
02126,남대문시장.신세계앞,425,412,837,37.561191081,126.9800597585
